milestone_level,close,date
10,10.03,1905-08-11
20,20.24,1928-05-04
30,30.22,1929-08-16
40,40.1,1955-06-17
50,50.06,1958-09-30
60,60.01,1959-07-07
70,70.01,1961-11-06
80,80.02,1964-04-06
90,90.27,1965-05-13
100,100.38,1968-06-04
110,110.18,1972-04-12
120,120.24,1973-01-11
130,130.4,1980-09-22
140,140.4,1980-11-20
150,150.88,1983-03-01
160,160.71,1983-04-20
170,170.53,1983-06-21
180,180.35,1985-02-04
190,190.04,1985-06-04
200,201.41,1985-11-21
250,250.84,1986-06-30
300,301.16,1987-03-23
350,351.52,1989-08-24
400,404.84,1991-12-26
450,454.71,1993-03-08
500,500.97,1995-03-24
550,551.07,1995-06-22
600,600.07,1995-11-17
650,656.07,1996-02-08
700,701.46,1996-10-04
750,757.03,1996-11-25
800,802.77,1997-02-12
850,858.01,1997-06-06
900,904.03,1997-07-02
950,952.29,1997-07-30
1000,1001.27,1998-02-02
1100,1105.65,1998-03-24
1200,1202.84,1998-12-21
1300,1307.26,1999-03-15
1400,1403.28,1999-07-09
1500,1500.64,2000-03-22
1600,1614.42,2013-05-03
1700,1706.87,2013-08-01
1800,1804.76,2013-11-22
1900,1900.53,2014-05-23
2000,2000.02,2014-08-26
2100,2100.34,2015-02-17
2200,2202.94,2016-11-22
2300,2307.87,2017-02-09
2400,2402.32,2017-05-15
2500,2500.23,2017-09-15
2600,2602.42,2017-11-24
2700,2713.06,2018-01-03
2800,2802.56,2018-01-17
2900,2914.04,2018-08-29
3000,3013.77,2019-07-12
3100,3120.46,2019-11-15
3200,3205.37,2019-12-19
3300,3316.81,2020-01-16
3400,3431.28,2020-08-24
3500,3508.01,2020-08-28
3600,3626.91,2020-11-16
3700,3702.25,2020-12-08
3800,3803.79,2021-01-07
3900,3915.59,2021-02-08
4000,4019.87,2021-04-01
4100,4128.8,2021-04-09
4200,4211.47,2021-04-29
4300,4319.94,2021-07-01
4400,4411.79,2021-07-23
4500,4509.37,2021-08-27
4600,4605.38,2021-10-29
4700,4701.7,2021-11-08
4800,4839.81,2024-01-19
4900,4927.93,2024-01-29
5000,5026.61,2024-02-09
5100,5137.08,2024-03-01
5200,5224.62,2024-03-20
5300,5308.15,2024-05-15
5400,5421.03,2024-06-12
5500,5509.01,2024-07-02
5600,5633.91,2024-07-10
5700,5713.64,2024-09-19
5800,5815.03,2024-10-11
5900,5929.04,2024-11-06
6000,6001.35,2024-11-11
6100,6118.71,2025-01-23
6200,6204.95,2025-06-30
6300,6305.6,2025-07-21
6400,6445.76,2025-08-12
6500,6501.86,2025-08-28
6600,6615.28,2025-09-15
6700,6711.2,2025-10-01
6800,6875.16,2025-10-27
6900,6901.0,2025-12-11
